name,rater_digital_id
Alice1,111111
Alice2,111112
Alice3,111113
Alice4,111114
Alice5,111115
Alice6,111116
Alice7,111117
Alice8,111118
Alice9,111119
Alice10,111120
Alice11,111121
Alice12,111122
Alice13,111123
Alice14,111124
Alice15,111125
Alice16,111126
Alice17,111127
Alice18,111128
Alice19,111129
Alice20,111130
Alice21,111131
Alice22,111132
Alice23,111133
Alice24,111134
Alice25,111135
Alice26,111136
Alice27,111137
Alice28,111138
Alice29,111139
Alice30,111140
Alice31,111141
Alice32,111142
Alice33,111143
Alice34,111144
Alice35,111145
Alice36,111146
Alice37,111147
Alice38,111148
Alice39,111149
Alice40,111150
Alice41,111151
Alice42,111152
Alice43,111153
Alice44,111154
Alice45,111155
Alice46,111156
Alice47,111157
Alice48,111158
Alice49,111159
Alice50,111160
Alice51,111161
Alice52,111162
Alice53,111163
Alice54,111164
Alice55,111165
Alice56,111166
Alice57,111167
Alice58,111168
Alice59,111169
Alice60,111170
Alice61,111171
Alice62,111172
Alice63,111173
Alice64,111174
Alice65,111175
Alice66,111176
Alice67,111177
Alice68,111178
Alice69,111179
Alice70,111180
Alice71,111181
Alice72,111182
Alice73,111183
Alice74,111184
Alice75,111185
Alice76,111186
Alice77,111187
Alice78,111188
Alice79,111189
